Time sec,Volt CH 1,Volt,Volt CH 2,Current,Power,RF,RR,LF,LR,CPM,MPH
0,5.22E+00,25.58,9.16E-05,0.12,3.122331225,6.84E+01,7.06E+01,6.83E+01,6.60E+01,0.00E+00,0.00
0.03,5.22E+00,25.59,6.10E-05,0.08,2.082772652,6.83E+01,7.07E+01,6.83E+01,6.60E+01,0.00E+00,0.00
0.06,5.22E+00,25.59,7.63E-05,0.10,2.602704753,6.84E+01,7.07E+01,6.83E+01,6.60E+01,0.00E+00,0.00
0.09,5.22E+00,25.57,4.58E-05,0.06,1.560712728,6.85E+01,7.07E+01,6.83E+01,6.60E+01,0.00E+00,0.00
0.12,5.22E+00,25.60,9.16E-05,0.12,3.125070726,6.85E+01,7.08E+01,6.83E+01,6.60E+01,0.00E+00,0.00
0.15,5.22E+00,25.59,7.63E-05,0.10,2.602704753,6.84E+01,7.07E+01,6.83E+01,6.60E+01,0.00E+00,0.00
0.18,5.22E+00,25.59,4.58E-05,0.06,1.561624899,6.84E+01,7.07E+01,6.83E+01,6.60E+01,0.00E+00,0.00
0.21,5.22E+00,25.59,4.58E-05,0.06,1.562079489,6.84E+01,7.06E+01,6.85E+01,6.60E+01,0.00E+00,0.00
0.24,5.22E+00,25.59,6.10E-05,0.08,2.082166532,6.84E+01,7.07E+01,6.85E+01,6.60E+01,0.00E+00,0.00
0.27,5.22E+00,25.60,7.63E-05,0.10,2.604225036,6.85E+01,7.07E+01,6.84E+01,6.60E+01,0.00E+00,0.00
0.3,5.22E+00,25.59,7.63E-05,0.10,2.602704753,6.83E+01,7.06E+01,6.83E+01,6.60E+01,0.00E+00,0.00
0.33,5.22E+00,25.59,4.58E-05,0.06,1.562079489,6.84E+01,7.07E+01,6.84E+01,6.60E+01,0.00E+00,0.00
0.36,5.22E+00,25.58,1.07E-04,0.14,3.642737383,6.84E+01,7.07E+01,6.84E+01,6.63E+01,0.00E+00,0.00
0.39,5.22E+00,25.58,6.10E-05,0.08,2.081556424,6.87E+01,7.09E+01,6.87E+01,6.62E+01,0.00E+00,0.00
0.42,5.22E+00,25.57,6.10E-05,0.08,2.080950303,6.87E+01,7.09E+01,6.87E+01,6.62E+01,0.00E+00,0.00
0.45,5.22E+00,25.59,7.63E-05,0.10,2.602704753,6.87E+01,7.08E+01,6.87E+01,6.63E+01,0.00E+00,0.00
0.48,5.22E+00,25.59,6.10E-05,0.08,2.082772652,6.86E+01,7.08E+01,6.87E+01,6.64E+01,0.00E+00,0.00
0.51,5.22E+00,25.60,7.63E-05,0.10,2.604225036,6.86E+01,7.08E+01,6.87E+01,6.62E+01,0.00E+00,0.00
0.54,5.22E+00,25.59,6.10E-05,0.08,2.082166532,6.86E+01,7.09E+01,6.86E+01,6.63E+01,0.00E+00,0.00
0.57,5.22E+00,25.59,7.63E-05,0.10,2.602704753,6.87E+01,7.09E+01,6.87E+01,6.64E+01,0.00E+00,0.00
0.6,5.22E+00,25.59,1.07E-04,0.14,3.64486579,6.86E+01,7.08E+01,6.87E+01,6.62E+01,0.00E+00,0.00
0.63,5.22E+00,25.59,6.10E-05,0.08,2.082166532,6.85E+01,7.08E+01,6.87E+01,6.62E+01,0.00E+00,0.00
0.66,5.22E+00,25.59,6.10E-05,0.08,2.082772652,6.87E+01,7.08E+01,6.87E+01,6.62E+01,0.00E+00,0.00
0.69,5.22E+00,25.59,7.63E-05,0.10,2.602704753,6.87E+01,7.09E+01,6.87E+01,6.62E+01,0.00E+00,0.00
0.72,5.22E+00,25.58,6.10E-05,0.08,2.081556424,6.86E+01,7.08E+01,6.86E+01,6.63E+01,0.00E+00,0.00
0.75,5.22E+00,25.59,7.63E-05,0.10,2.602704753,6.86E+01,7.08E+01,6.87E+01,6.62E+01,0.00E+00,0.00
0.78,5.22E+00,25.59,6.10E-05,0.08,2.082166532,6.85E+01,7.06E+01,6.85E+01,6.60E+01,0.00E+00,0.00
0.81,5.22E+00,25.59,4.58E-05,0.06,1.561624899,6.84E+01,7.07E+01,6.85E+01,6.60E+01,0.00E+00,0.00
0.84,5.22E+00,25.59,7.63E-05,0.10,2.602704753,6.84E+01,7.06E+01,6.84E+01,6.60E+01,0.00E+00,0.00
0.87,5.22E+00,25.57,7.63E-05,0.10,2.60118447,6.85E+01,7.06E+01,6.85E+01,6.60E+01,0.00E+00,0.00
0.9,5.22E+00,25.59,4.58E-05,0.06,1.562079489,6.83E+01,7.08E+01,6.84E+01,6.60E+01,0.00E+00,0.00
0.93,5.22E+00,25.58,1.07E-04,0.14,3.642737383,6.85E+01,7.07E+01,6.84E+01,6.61E+01,0.00E+00,0.00
0.96,5.22E+00,25.59,6.10E-05,0.08,2.082772652,6.84E+01,7.07E+01,6.84E+01,6.60E+01,0.00E+00,0.00
0.99,5.22E+00,25.59,7.63E-05,0.10,2.602704753,6.85E+01,7.08E+01,6.86E+01,6.61E+01,0.00E+00,0.00
1.02,5.22E+00,25.58,9.16E-05,0.12,3.122331225,6.85E+01,7.08E+01,6.85E+01,6.62E+01,0.00E+00,0.00
1.05,5.22E+00,25.59,7.63E-05,0.10,2.602704753,6.85E+01,7.08E+01,6.85E+01,6.62E+01,0.00E+00,0.00
1.08,5.22E+00,25.59,1.07E-04,0.14,3.643805076,6.84E+01,7.08E+01,6.85E+01,6.61E+01,0.00E+00,0.00
1.11,5.22E+00,25.59,7.63E-05,0.10,2.602704753,6.84E+01,7.08E+01,6.86E+01,6.61E+01,0.00E+00,0.00
1.14,5.22E+00,25.59,6.10E-05,0.08,2.082772652,6.85E+01,7.08E+01,6.86E+01,6.62E+01,0.00E+00,0.00
1.17,5.22E+00,25.59,6.10E-05,0.08,2.082166532,6.85E+01,7.08E+01,6.85E+01,6.59E+01,0.00E+00,0.00
1.2,5.22E+00,25.59,7.63E-05,0.10,2.602704753,6.84E+01,7.06E+01,6.83E+01,6.60E+01,0.00E+00,0.00
1.23,5.22E+00,25.59,7.63E-05,0.10,2.603462402,6.84E+01,7.07E+01,6.84E+01,6.60E+01,0.00E+00,0.00
1.26,5.22E+00,25.59,7.63E-05,0.10,2.603462402,6.84E+01,7.07E+01,6.84E+01,6.60E+01,0.00E+00,0.00
1.29,5.22E+00,25.60,7.63E-05,0.10,2.604225036,6.83E+01,7.08E+01,6.83E+01,6.60E+01,0.00E+00,0.00
1.32,5.22E+00,25.59,9.16E-05,0.12,3.124155565,6.83E+01,7.07E+01,6.83E+01,6.60E+01,0.00E+00,0.00
1.35,5.22E+00,25.60,1.53E-05,0.02,0.52084569,6.84E+01,7.07E+01,6.85E+01,6.60E+01,0.00E+00,0.00
1.38,5.22E+00,25.58,7.63E-05,0.10,2.601942119,6.84E+01,7.08E+01,6.85E+01,6.61E+01,0.00E+00,0.00
1.41,5.22E+00,25.56,6.10E-05,0.08,2.080340196,6.85E+01,7.08E+01,6.85E+01,6.61E+01,0.00E+00,0.00
1.44,5.22E+00,25.59,6.10E-05,0.08,2.082166532,6.84E+01,7.08E+01,6.85E+01,6.61E+01,0.00E+00,0.00
1.47,5.22E+00,25.59,6.10E-05,0.08,2.082166532,6.83E+01,7.08E+01,6.84E+01,6.61E+01,0.00E+00,0.00
1.5,5.22E+00,25.57,7.63E-05,0.10,2.60118447,6.85E+01,7.09E+01,6.85E+01,6.61E+01,0.00E+00,0.00
1.53,5.23E+00,25.61,7.63E-05,0.10,2.60498767,6.85E+01,7.08E+01,6.85E+01,6.61E+01,0.00E+00,0.00
1.56,5.22E+00,25.59,4.58E-05,0.06,1.562079489,6.84E+01,7.08E+01,6.85E+01,6.61E+01,0.00E+00,0.00
1.59,5.22E+00,25.58,7.63E-05,0.10,2.601942119,6.85E+01,7.08E+01,6.86E+01,6.61E+01,0.00E+00,0.00
1.62,5.22E+00,25.59,3.05E-05,0.04,1.041083266,6.85E+01,7.08E+01,6.86E+01,6.62E+01,0.00E+00,0.00
1.65,5.22E+00,25.59,3.05E-05,0.04,1.041083266,6.83E+01,7.08E+01,6.85E+01,6.61E+01,0.00E+00,0.00
1.68,5.22E+00,25.58,6.10E-05,0.08,2.081556424,6.85E+01,7.09E+01,6.84E+01,6.60E+01,0.00E+00,0.00
1.71,5.22E+00,25.59,6.10E-05,0.08,2.082166532,6.84E+01,7.08E+01,6.85E+01,6.61E+01,0.00E+00,0.00
1.74,5.22E+00,25.59,1.07E-04,0.14,3.643805076,6.84E+01,7.08E+01,6.84E+01,6.60E+01,0.00E+00,0.00
1.77,5.22E+00,25.58,6.10E-05,0.08,2.081556424,6.84E+01,7.08E+01,6.85E+01,6.61E+01,0.00E+00,0.00
1.8,5.22E+00,25.58,6.10E-05,0.08,2.081556424,6.85E+01,7.08E+01,6.85E+01,6.60E+01,0.00E+00,0.00
1.83,5.22E+00,25.59,1.07E-04,0.14,3.643805076,6.85E+01,7.08E+01,6.85E+01,6.62E+01,0.00E+00,0.00
1.86,5.22E+00,25.59,7.63E-05,0.10,2.602704753,6.84E+01,7.08E+01,6.85E+01,6.60E+01,0.00E+00,0.00
1.89,5.22E+00,25.59,7.63E-05,0.10,2.602704753,6.84E+01,7.08E+01,6.85E+01,6.61E+01,0.00E+00,0.00
1.92,5.22E+00,25.58,7.63E-05,0.10,2.601942119,6.84E+01,7.08E+01,6.84E+01,6.61E+01,0.00E+00,0.00
1.95,5.22E+00,25.59,9.16E-05,0.12,3.123246386,6.84E+01,7.08E+01,6.85E+01,6.61E+01,0.00E+00,0.00
1.98,5.22E+00,25.59,6.10E-05,0.08,2.082772652,6.84E+01,7.05E+01,6.83E+01,6.60E+01,0.00E+00,0.00
2.01,5.22E+00,25.59,1.07E-04,0.14,3.64486579,6.84E+01,7.07E+01,6.83E+01,6.60E+01,0.00E+00,0.00
2.04,5.22E+00,25.59,6.10E-05,0.08,2.082166532,6.83E+01,7.08E+01,6.83E+01,6.60E+01,0.00E+00,0.00
2.07,5.22E+00,25.59,6.10E-05,0.08,2.082166532,6.83E+01,7.06E+01,6.83E+01,6.59E+01,0.00E+00,0.00
2.1,5.22E+00,25.59,6.10E-05,0.08,2.082772652,6.83E+01,7.06E+01,6.83E+01,6.58E+01,0.00E+00,0.00
2.13,5.22E+00,25.60,7.63E-05,0.10,2.604225036,6.84E+01,7.08E+01,6.84E+01,6.60E+01,0.00E+00,0.00
2.16,5.22E+00,25.60,7.63E-05,0.10,2.604225036,6.83E+01,7.06E+01,6.83E+01,6.59E+01,0.00E+00,0.00
2.19,5.22E+00,25.59,7.63E-05,0.10,2.603462402,6.83E+01,7.08E+01,6.85E+01,6.61E+01,0.00E+00,0.00
2.22,5.22E+00,25.59,7.63E-05,0.10,2.603462402,6.85E+01,7.08E+01,6.85E+01,6.61E+01,0.00E+00,0.00
2.25,5.22E+00,25.59,7.63E-05,0.10,2.603462402,6.85E+01,7.08E+01,6.85E+01,6.61E+01,0.00E+00,0.00
2.28,5.22E+00,25.59,6.10E-05,0.08,2.082166532,6.83E+01,7.08E+01,6.85E+01,6.60E+01,0.00E+00,0.00
2.31,5.22E+00,25.58,7.63E-05,0.10,2.601942119,6.84E+01,7.08E+01,6.86E+01,6.60E+01,0.00E+00,0.00
2.34,5.22E+00,25.59,6.10E-05,0.08,2.082166532,6.84E+01,7.08E+01,6.86E+01,6.60E+01,0.00E+00,0.00
2.37,5.22E+00,25.59,6.10E-05,0.08,2.082166532,6.83E+01,7.08E+01,6.83E+01,6.60E+01,0.00E+00,0.00
2.4,5.23E+00,25.61,6.10E-05,0.08,2.083992868,6.83E+01,7.06E+01,6.83E+01,6.59E+01,0.00E+00,0.00
2.43,5.22E+00,25.60,1.07E-04,0.14,3.645933483,6.83E+01,7.06E+01,6.84E+01,6.59E+01,0.00E+00,0.00
2.46,5.22E+00,25.57,7.63E-05,0.10,2.60118447,6.83E+01,7.08E+01,6.83E+01,6.58E+01,0.00E+00,0.00
2.49,5.22E+00,25.59,4.58E-05,0.06,1.561624899,6.83E+01,7.06E+01,6.85E+01,6.59E+01,0.00E+00,0.00
2.52,5.22E+00,25.57,9.16E-05,0.12,3.121422046,6.83E+01,7.07E+01,6.83E+01,6.58E+01,0.00E+00,0.00
2.55,5.22E+00,25.59,6.10E-05,0.08,2.082772652,6.83E+01,7.07E+01,6.83E+01,6.57E+01,0.00E+00,0.00
2.58,5.22E+00,25.59,7.63E-05,0.10,2.603462402,6.83E+01,7.06E+01,6.83E+01,6.60E+01,0.00E+00,0.00
2.61,5.22E+00,25.59,4.58E-05,0.06,1.561624899,6.84E+01,7.06E+01,6.83E+01,6.59E+01,0.00E+00,0.00
2.64,5.22E+00,25.60,9.16E-05,0.12,3.125070726,6.83E+01,7.07E+01,6.84E+01,6.58E+01,0.00E+00,0.00
2.67,5.22E+00,25.59,6.10E-05,0.08,2.082166532,6.83E+01,7.06E+01,6.83E+01,6.60E+01,0.00E+00,0.00
2.7,5.22E+00,25.58,7.63E-05,0.10,2.601942119,6.83E+01,7.06E+01,6.83E+01,6.60E+01,0.00E+00,0.00
2.73,5.22E+00,25.59,7.63E-05,0.10,2.603462402,6.83E+01,7.07E+01,6.83E+01,6.60E+01,0.00E+00,0.00
2.76,5.22E+00,25.59,9.16E-05,0.12,3.124155565,6.83E+01,7.06E+01,6.84E+01,6.58E+01,0.00E+00,0.00
2.79,5.22E+00,25.58,7.63E-05,0.10,2.601942119,6.83E+01,7.07E+01,6.85E+01,6.59E+01,0.00E+00,0.00
2.82,5.22E+00,25.59,1.07E-04,0.14,3.643805076,6.83E+01,7.06E+01,6.84E+01,6.58E+01,0.00E+00,0.00
2.85,5.22E+00,25.58,1.07E-04,0.14,3.642737383,6.84E+01,7.06E+01,6.84E+01,6.60E+01,0.00E+00,0.00
2.88,5.22E+00,25.58,9.16E-05,0.12,3.122331225,6.83E+01,7.06E+01,6.84E+01,6.60E+01,0.00E+00,0.00
2.91,5.22E+00,25.59,6.10E-05,0.08,2.082166532,6.83E+01,7.06E+01,6.84E+01,6.59E+01,0.00E+00,0.00
2.94,5.22E+00,25.59,6.10E-05,0.08,2.082772652,6.83E+01,7.07E+01,6.83E+01,6.58E+01,0.00E+00,0.00
2.97,5.22E+00,25.59,6.10E-05,0.08,2.082772652,6.83E+01,7.06E+01,6.85E+01,6.60E+01,0.00E+00,0.00
3,5.22E+00,25.59,6.10E-05,0.08,2.082166532,6.84E+01,7.08E+01,6.85E+01,6.60E+01,0.00E+00,0.00
3.03,5.22E+00,25.58,1.07E-04,0.14,3.642737383,6.83E+01,7.08E+01,6.85E+01,6.60E+01,0.00E+00,0.00
3.06,5.22E+00,25.59,7.63E-05,0.10,2.603462402,6.82E+01,7.08E+01,6.84E+01,6.59E+01,0.00E+00,0.00
3.09,5.22E+00,25.59,9.16E-05,0.12,3.124155565,6.83E+01,7.08E+01,6.85E+01,6.61E+01,0.00E+00,0.00
3.12,5.22E+00,25.58,6.10E-05,0.08,2.081556424,6.83E+01,7.08E+01,6.85E+01,6.59E+01,0.00E+00,0.00
3.15,5.22E+00,25.59,9.16E-05,0.12,3.123246386,6.82E+01,7.07E+01,6.86E+01,6.60E+01,0.00E+00,0.00
3.18,5.22E+00,25.59,7.63E-05,0.10,2.603462402,6.83E+01,7.07E+01,6.82E+01,6.60E+01,0.00E+00,0.00
3.21,5.22E+00,25.59,4.58E-05,0.06,1.562079489,6.83E+01,7.07E+01,6.83E+01,6.59E+01,0.00E+00,0.00
3.24,5.22E+00,25.59,6.10E-05,0.08,2.082166532,6.83E+01,7.06E+01,6.84E+01,6.58E+01,0.00E+00,0.00
3.27,5.22E+00,25.57,6.10E-05,0.08,2.080950303,6.83E+01,7.07E+01,6.84E+01,6.58E+01,0.00E+00,0.00
3.3,5.22E+00,25.59,9.16E-05,0.12,3.124155565,6.83E+01,7.07E+01,6.83E+01,6.59E+01,0.00E+00,0.00
3.33,5.22E+00,25.59,6.10E-05,0.08,2.082772652,6.83E+01,7.07E+01,6.83E+01,6.59E+01,0.00E+00,0.00
3.36,5.22E+00,25.59,1.07E-04,0.14,3.643805076,6.83E+01,7.07E+01,6.83E+01,6.59E+01,0.00E+00,0.00
3.39,5.22E+00,25.59,9.16E-05,0.12,3.123246386,6.84E+01,7.08E+01,6.85E+01,6.60E+01,0.00E+00,0.00
3.42,5.22E+00,25.59,6.10E-05,0.08,2.082166532,6.84E+01,7.08E+01,6.85E+01,6.60E+01,0.00E+00,0.00
3.45,5.22E+00,25.59,1.07E-04,0.14,3.643805076,6.83E+01,7.08E+01,6.83E+01,6.59E+01,0.00E+00,0.00
3.48,5.22E+00,25.59,6.10E-05,0.08,2.082166532,6.83E+01,7.08E+01,6.85E+01,6.60E+01,0.00E+00,0.00
3.51,5.22E+00,25.59,6.10E-05,0.08,2.082772652,6.84E+01,7.08E+01,6.85E+01,6.60E+01,0.00E+00,0.00
3.54,5.22E+00,25.59,4.58E-05,0.06,1.562079489,6.83E+01,7.08E+01,6.84E+01,6.60E+01,0.00E+00,0.00
3.57,5.23E+00,25.61,6.10E-05,0.08,2.083992868,6.83E+01,7.08E+01,6.84E+01,6.60E+01,0.00E+00,0.00
3.6,5.22E+00,25.59,3.05E-05,0.04,1.041083266,6.83E+01,7.08E+01,6.83E+01,6.60E+01,0.00E+00,0.00
3.63,5.22E+00,25.58,3.05E-05,0.04,1.040778212,6.83E+01,7.08E+01,6.85E+01,6.60E+01,0.00E+00,0.00
3.66,5.22E+00,25.59,6.10E-05,0.08,2.082772652,6.83E+01,7.07E+01,6.85E+01,6.60E+01,0.00E+00,0.00
3.69,5.22E+00,25.59,7.63E-05,0.10,2.602704753,6.83E+01,7.08E+01,6.85E+01,6.60E+01,0.00E+00,0.00
3.72,5.22E+00,25.58,7.63E-05,0.10,2.601942119,6.83E+01,7.08E+01,6.86E+01,6.60E+01,0.00E+00,0.00
3.75,5.22E+00,25.59,9.16E-05,0.12,3.124155565,6.83E+01,7.08E+01,6.85E+01,6.61E+01,0.00E+00,0.00
3.78,5.22E+00,25.59,9.16E-05,0.12,3.123246386,6.85E+01,7.06E+01,6.84E+01,6.59E+01,0.00E+00,0.00
3.81,5.22E+00,25.59,6.10E-05,0.08,2.082166532,6.83E+01,7.07E+01,6.83E+01,6.59E+01,0.00E+00,0.00
3.84,5.22E+00,25.60,4.58E-05,0.06,1.56253707,6.83E+01,7.07E+01,6.83E+01,6.58E+01,0.00E+00,0.00
3.87,5.22E+00,25.59,4.58E-05,0.06,1.562079489,6.83E+01,7.06E+01,6.84E+01,6.60E+01,0.00E+00,0.00
3.9,5.22E+00,25.58,6.10E-05,0.08,2.081556424,6.83E+01,7.06E+01,6.83E+01,6.59E+01,0.00E+00,0.00
3.93,5.22E+00,25.60,6.10E-05,0.08,2.08338276,6.83E+01,7.06E+01,6.84E+01,6.58E+01,0.00E+00,0.00
3.96,5.22E+00,25.59,6.10E-05,0.08,2.082772652,6.83E+01,7.08E+01,6.83E+01,6.59E+01,0.00E+00,0.00
3.99,5.22E+00,25.59,6.10E-05,0.08,2.082166532,6.83E+01,7.08E+01,6.85E+01,6.60E+01,0.00E+00,0.00
4.02,5.22E+00,25.59,4.58E-05,0.06,1.561624899,6.84E+01,7.08E+01,6.85E+01,6.60E+01,0.00E+00,0.00
4.05,5.22E+00,25.59,4.58E-05,0.06,1.562079489,6.84E+01,7.08E+01,6.84E+01,6.59E+01,0.00E+00,0.00
4.08,5.22E+00,25.58,7.63E-05,0.10,2.601942119,6.83E+01,7.08E+01,6.85E+01,6.59E+01,0.00E+00,0.00
4.11,5.22E+00,25.58,7.63E-05,0.10,2.601942119,6.85E+01,7.08E+01,6.86E+01,6.59E+01,0.00E+00,0.00
4.14,5.22E+00,25.59,7.63E-05,0.10,2.603462402,6.84E+01,7.08E+01,6.85E+01,6.60E+01,0.00E+00,0.00
4.17,5.22E+00,25.59,9.16E-05,0.12,3.124155565,6.83E+01,7.08E+01,6.84E+01,6.60E+01,0.00E+00,0.00
4.2,5.22E+00,25.59,6.10E-05,0.08,2.082772652,6.84E+01,7.08E+01,6.85E+01,6.60E+01,0.00E+00,0.00
4.23,5.22E+00,25.58,6.10E-05,0.08,2.081556424,6.83E+01,7.08E+01,6.86E+01,6.60E+01,0.00E+00,0.00
4.26,5.22E+00,25.59,6.10E-05,0.08,2.082772652,6.84E+01,7.08E+01,6.84E+01,6.59E+01,0.00E+00,0.00
4.29,5.22E+00,25.59,7.63E-05,0.10,2.602704753,6.84E+01,7.08E+01,6.85E+01,6.61E+01,0.00E+00,0.00
4.32,5.22E+00,25.58,6.10E-05,0.08,2.081556424,6.83E+01,7.07E+01,6.84E+01,6.60E+01,0.00E+00,0.00
4.35,5.22E+00,25.59,6.10E-05,0.08,2.082166532,6.84E+01,7.08E+01,6.84E+01,6.59E+01,0.00E+00,0.00
4.38,5.22E+00,25.59,7.63E-05,0.10,2.603462402,6.83E+01,7.08E+01,6.85E+01,6.60E+01,0.00E+00,0.00
4.41,5.22E+00,25.59,3.05E-05,0.04,1.041386326,6.83E+01,7.08E+01,6.84E+01,6.60E+01,0.00E+00,0.00
4.44,5.22E+00,25.59,7.63E-05,0.10,2.602704753,6.83E+01,7.08E+01,6.84E+01,6.60E+01,0.00E+00,0.00
4.47,5.22E+00,25.59,4.58E-05,0.06,1.561624899,6.83E+01,7.08E+01,6.84E+01,6.60E+01,0.00E+00,0.00
